Plant,Style_CD,Activity,SAH,Pack_Unit,Pack_Qty,Size,Operation_code
95,G30BBI,SEW,0.2763,X,1,14,60500
95,G30BBL,SEW,0.2763,X,1,14,60500
95,G30BBM,SEW,0.2672,X,1,8,60500
95,G30BBM,SEW,0.2763,X,1,12,60500
95,G30BBN,SEW,0.2763,X,1,10,60500
95,G30BBO,SEW,0.2763,X,1,16,60500
95,G30BBP,SEW,0.2672,X,1,8,60500
95,G30BBR,SEW,0.2672,X,1,8,60500
95,G30BBU,SEW,0.2763,X,1,16,60500
95,G30BBV,SEW,0.2672,X,1,6,60500
95,G30BBV,SEW,0.2763,X,1,10,60500
95,G30BBV,SEW,0.2763,X,1,14,60500
95,G30BBW,SEW,0.2763,X,1,10,60500
95,G30BBW,SEW,0.2763,X,1,14,60500
95,G30BBW,SEW,0.2763,X,1,16,60500
95,G30BBX,SEW,0.2763,X,1,10,60500
95,G30BBX,SEW,0.2763,X,1,14,60500
95,G30BBZ,SEW,0.2672,X,1,8,60500
95,G30BCA,SEW,0.2672,X,1,6,60500
95,G30BCA,SEW,0.2763,X,1,10,60500
95,G30BCB,SEW,0.2672,X,1,8,60500
95,G30BCE,SEW,0.2672,X,1,8,60500
95,G30BCH,SEW,0.2672,X,1,8,60500
95,G30BCH,SEW,0.2763,X,1,10,60500
95,G30BCI,SEW,0.2672,X,1,6,60500
95,G30BCI,SEW,0.2672,X,1,8,60500
95,G30BCI,SEW,0.2763,X,1,16,60500
95,G30BCJ,SEW,0.2672,X,1,4,60500
95,G30BCJ,SEW,0.2672,X,1,6,60500
95,G30BED,SEW,0.2763,X,1,10,60500
95,G30BED,SEW,0.2763,X,1,12,60500
95,G30BEH,SEW,0.2672,X,1,4,60500
95,G30BEJ,SEW,0.2672,X,1,6,60500
95,G30BEJ,SEW,0.2763,X,1,12,60500
95,G30BEK,SEW,0.2763,X,1,12,60500
95,G30BTA,SEW,0.2763,X,1,10,60500
95,G30BTB,SEW,0.2763,X,1,10,60500
95,G30BTD,SEW,0.2672,X,1,6,60500
95,G30BTF,SEW,0.2763,X,1,16,60500
95,G30BTG,SEW,0.2672,X,1,6,60500
95,G30BTH,SEW,0.2672,X,1,8,60500
95,G30BTI,SEW,0.2763,X,1,12,60500
95,G30BTK,SEW,0.2763,X,1,16,60500
95,G30BTL,SEW,0.2672,X,1,8,60500
95,G30BTL,SEW,0.2763,X,1,16,60500
95,G30BTN,SEW,0.2672,X,1,8,60500
95,G30BTN,SEW,0.2763,X,1,12,60500
95,G30BTO,SEW,0.2672,X,1,8,60500
95,G30BTO,SEW,0.2763,X,1,16,60500
95,G30BTQ,SEW,0.2763,X,1,14,60500
95,G30BAA,SEW,0.2763,X,1,10,60500
95,G30BAA,SEW,0.2763,X,1,16,60500
95,NB97BL,SEW,3.42192,X,1,32A,60500
95,NB97BL,SEW,3.42192,X,1,34C,60500
95,NB97BL,SEW,3.42192,X,1,38C,60500
95,NB97BL,SEW,3.42192,X,1,34D,60500
95,D43S32,VAP,0.2592,3,3,10,60900
95,D43S33,VAP,0.2592,3,3,6,60900
95,D43S33,VAP,0.2592,3,3,9,60900
95,GBR202,VAP,0.96264,2,2,10,60900
95,PHWEC5,VAP,0.11592,1,1,44C,60900
95,PHWEC5,VAP,0.11592,1,1,42D,60900
95,PHWEC5,VAP,0.11592,1,1,42DD,60900
95,PHWEC5,VAP,0.11592,1,1,44DD,60900
95,NBWEC5,SEW,2.4286,X,1,40D,60500
95,942S45,VAP,0.5628,A,10,6,60900
95,942S45,VAP,0.5628,A,10,9,60900
95,NBAU29,SEW,3.42192,X,1,36A,60500
95,NBAU29,SEW,3.42192,X,1,34D,60500
95,NBAU29,SEW,3.42192,X,1,34DD,60500
95,PHAU29,VAP,0.14556,1,1,34A,60900
95,PHAU29,VAP,0.14556,1,1,32D,60900
95,84PW31,VAP,0.41872,8,8,9,60900
95,G31EBJ,SEW,0.27792,X,1,10,60500
95,G31EBK,SEW,0.27792,X,1,10,60500
95,G31EBK,SEW,0.27792,X,1,14,60500
95,G31EBL,SEW,0.27792,X,1,14,60500
95,G31EBM,SEW,0.2574,X,1,8,60500
95,G31EBO,SEW,0.27792,X,1,12,60500
95,G31EBO,SEW,0.2574,X,1,8,60500
95,G31EBQ,SEW,0.27792,X,1,16,60500
95,G31EBR,SEW,0.2574,X,1,8,60500
95,G31EBT,SEW,0.2574,X,1,6,60500
95,G31EBV,SEW,0.27792,X,1,10,60500
95,G31EBW,SEW,0.27792,X,1,12,60500
95,G31EBX,SEW,0.27792,X,1,10,60500
